Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
74,afrojack,,9,4,13,9,4,13,5,0.353561,0.369204,0.000008,0.024475,0.024475,35,0.000522,0,0.717949,56,0.108542
75,afrolicious,,3,5,8,3,5,8,5,0.313287,0.32471,0,0.006111,0.006111,35,0.000141,0,1,28,0.025805
76,afterwork,,6,0,6,6,0,6,5,0.30057,0.309865,0,0.002148,0.002148,4,0.000305,0,1,15,0.021732
77,ag,,7,0,7,7,0,7,5,0.29595,0.305879,0,0.001898,0.001898,59,0.000306,0,1,21,0.025892
78,Aga,,1,3,4,1,3,4,5,0.297561,0.309301,0.000001,0.002384,0.002384,67,0.000111,0,0.833333,5,0.001152
79,AgaRadwanska,,0,3,3,0,3,3,5,0.297541,0.309188,0,0.00233,0.00233,20,0.000085,0,1,3,0
80,ageisirrelevant,,0,1,1,0,1,1,5,0.299129,0.307528,0,0.001501,0.001501,20,0.000085,0,0,0,0
81,AGENCY,,3,2,5,3,2,5,5,0.301061,0.313106,0,0.003889,0.003889,52,0.000154,0,1,10,0.025805
82,agriculture,,7,2,9,7,2,9,5,0.295989,0.306105,0,0.001995,0.001995,59,0.000306,0,1,36,0.025892
83,ah,,3,0,3,3,0,3,5,0.282614,0.293447,0,0.000992,0.000992,64,0.000171,0,1,3,0.014139
84,aha,,3,0,3,3,0,3,5,0.294474,0.301863,0,0.001909,0.001909,20,0.000198,0,1,3,0.012233
85,AIA,,0,5,5,0,5,5,5,0.30279,0.315289,0,0.005439,0.005439,29,0.000085,0,1,10,0
86,airboat,,1,5,6,1,5,6,5,0.302129,0.314216,0,0.004058,0.004058,29,0.000095,0,1,15,0.001024
87,airboataddicts,,6,4,10,6,4,10,5,0.314043,0.325124,0.000005,0.005105,0.005105,29,0.000201,0,0.711111,32,0.010657
88,airboating,,8,1,9,8,1,9,5,0.314176,0.325237,0.000005,0.005127,0.005127,29,0.000397,0,0.666667,24,0.036854
89,airboatlife,,10,2,12,10,2,12,5,0.314243,0.325576,0.000013,0.005499,0.005499,29,0.000313,0,0.560606,37,0.036858
90,airboats,,1,5,6,1,5,6,5,0.313953,0.324673,0,0.004641,0.004641,29,0.000105,0,1,15,0.006248
91,AKB48,,0,1,1,0,1,1,5,0.299898,0.311544,0,0.003395,0.003395,29,0.000085,0,0,0,0
92,akron,,2,2,4,2,2,4,5,0.328073,0.337613,0,0.007208,0.007208,29,0.000144,0,1,6,0.046596
93,Alb�tre,,3,0,3,3,0,3,5,0.310715,0.327029,0,0.006198,0.006198,68,0.000262,0,1,3,0.042375
94,album,,2,1,3,2,1,3,5,0.298947,0.308623,0,0.002888,0.002888,26,0.000156,0,1,3,0.001232
95,alcohol,,5,2,7,5,2,7,5,0.313198,0.33406,0,0.009713,0.009713,3,0.000195,0,1,21,0.008926
96,AlderleyEdge,,1,0,1,1,0,1,4,0.352407,0.363765,0,0.00745,0.00745,20,0.000113,0,0,0,0.048919
97,alexachung,,0,1,1,0,1,1,4,0.352407,0.363765,0,0.00745,0.00745,20,0.000085,0,0,0,0
98,AlexTurner,,16,18,34,17,18,35,4,0.374588,0.393104,0.001277,0.027814,0.027814,5,0.000709,0,0.204433,83,0.165986
99,alhambra,,1,7,8,1,7,8,5,0.332009,0.34691,0,0.013162,0.013162,29,0.000094,0,1,28,0.000584
100,alice,,0,2,2,0,2,2,4,0.352436,0.363878,0,0.007635,0.007635,20,0.000085,0,1,1,0
101,Alien,,0,2,2,0,2,2,4,0.352464,0.363915,0,0.007759,0.007759,20,0.000085,0,1,1,0
102,AlisonRiske,,4,0,4,4,0,4,5,0.300407,0.312891,0,0.002792,0.002792,59,0.000238,0,1,6,0.024962
103,allaboard,,1,0,1,1,0,1,6,0.237605,0.246119,0,0.000186,0.000186,21,0.000273,0,0,0,0.003185
104,Allah,,4,8,12,4,8,12,5,0.314043,0.324447,0,0.005723,0.005723,59,0.000126,0,1,66,0.004354
105,alldayer,,6,0,6,6,0,6,5,0.338869,0.349695,0.000005,0.005894,0.005894,67,0.000358,0,0.6,9,0.053919
106,alldaysession,,1,1,2,1,1,2,5,0.308959,0.324326,0,0.002891,0.002891,67,0.000106,0,1,1,0.026071
107,allergies,,6,5,11,6,5,11,5,0.322013,0.328963,0,0.003134,0.003134,4,0.000219,0,1,55,0.020831
108,Allez,,2,0,2,2,0,2,5,0.293303,0.30498,0,0.002117,0.002117,67,0.000192,0,1,1,0.018742
109,AllezFroomedog,,0,2,2,0,2,2,5,0.309002,0.324402,0,0.003112,0.003112,67,0.000085,0,1,1,0
110,allison,,4,1,5,4,1,5,5,0.311633,0.332272,0,0.008573,0.008573,21,0.000242,0,1,10,0.003426
111,allnight,,2,3,5,2,3,5,5,0.316444,0.326893,0,0.004858,0.004858,26,0.000114,0,1,10,0.004108
