Source,Target,Type,Weight
1589,3993,undirected,7
2091,1589,undirected,83
1589,489,undirected,1
4193,3226,undirected,1
1570,4395,undirected,87
175,1570,undirected,5
1589,1312,undirected,157
1589,1570,undirected,565
1312,1570,undirected,37
1570,175,undirected,44
1570,1009,undirected,2
1570,389,undirected,1
175,1009,undirected,2
175,389,undirected,1
1009,389,undirected,1
2636,1570,undirected,1
1035,3822,undirected,1
1035,1312,undirected,1
1035,378,undirected,1
1035,3339,undirected,1
3822,1312,undirected,8
3822,378,undirected,3
3822,3339,undirected,1
1312,378,undirected,10
378,3339,undirected,3
1589,1594,undirected,18
1589,4372,undirected,6
1589,2066,undirected,28
1594,4372,undirected,1
1594,2066,undirected,1
4372,2066,undirected,1
3759,4519,undirected,354
3759,1589,undirected,769
4519,1589,undirected,353
1956,1589,undirected,1
324,3223,undirected,11
1663,478,undirected,1
1663,1212,undirected,1
1663,960,undirected,1
1663,1213,undirected,1
478,1212,undirected,1
478,960,undirected,1
478,1213,undirected,1
1212,960,undirected,1
1212,1213,undirected,1
960,1213,undirected,1
1589,1764,undirected,3
1312,3461,undirected,2
2256,1570,undirected,2
3729,1589,undirected,5
1754,459,undirected,2
1754,692,undirected,2
1754,1440,undirected,2
1754,1753,undirected,2
1754,947,undirected,2
1754,1663,undirected,3
1754,622,undirected,2
459,692,undirected,2
459,1440,undirected,2
459,1753,undirected,2
459,947,undirected,2
459,622,undirected,2
692,1440,undirected,3
692,1753,undirected,2
692,947,undirected,2
692,1663,undirected,10
692,622,undirected,2
1440,1753,undirected,14
1440,947,undirected,3
1440,622,undirected,2
1753,947,undirected,7
1753,1663,undirected,16
1753,622,undirected,2
947,1663,undirected,2
947,622,undirected,2
1663,622,undirected,3
2812,829,undirected,1
2812,925,undirected,1
2812,1522,undirected,1
829,925,undirected,1
829,1522,undirected,1
2972,3129,undirected,1
2972,39,undirected,1
2972,1663,undirected,1
2972,921,undirected,1
3129,39,undirected,1
3129,1663,undirected,1
3129,921,undirected,1
39,1663,undirected,1
39,921,undirected,1
1663,921,undirected,1
3061,1312,undirected,3
3742,1589,undirected,1
3742,333,undirected,1
1589,333,undirected,1026
175,537,undirected,1
175,3390,undirected,1
537,3390,undirected,1
537,1570,undirected,1
3390,1570,undirected,1
333,2085,undirected,1
2255,98,undirected,1
3290,1975,undirected,1
3290,1663,undirected,1
1975,1663,undirected,1
2344,4387,undirected,41
2344,820,undirected,1
2344,3883,undirected,11
2344,1570,undirected,9
4387,820,undirected,1
4387,3883,undirected,11
4387,1570,undirected,16
820,3883,undirected,1
820,1570,undirected,1
3883,1570,undirected,7
1570,2029,undirected,1
1522,925,undirected,12
498,2797,undirected,1
498,2906,undirected,1
498,1663,undirected,1
2797,2906,undirected,1
