Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
797,comeonboys,3,4,5,0.309067,0.32459,1.253968,0.003472,0.003472,1,0.000214,0,0.666667,2,0.015862
4340,WhatIsLyfe,3,3,5,0.282723,0.29356,0,0.000825,0.000825,1,0.000214,0,1,3,0.005725
2483,LyfeHatesMe,3,3,5,0.282723,0.29356,0,0.000825,0.000825,1,0.000214,0,1,3,0.005725
4144,Twickenham,3,3,5,0.308981,0.324439,0,0.002994,0.002994,1,0.00021,0,1,3,0.014394
1015,disaster,3,3,5,0.318401,0.338144,0,0.009539,0.009539,1,0.000209,0,1,3,0.02604
298,BangUpForIt,3,40,5,0.308981,0.324439,0.5,0.002961,0.002961,1,0.00022,0,0.666667,2,0.01423
851,courteeners,3,5,4,0.35962,0.373137,384.558228,0.010481,0.010481,1,0.000214,0,0.666667,2,0.033937
4069,topman,3,6,4,0.354751,0.366851,0,0.009374,0.009374,1,0.000211,0,1,3,0.029711
732,chingao,3,3,5,0.282596,0.293409,0,0.000802,0.000802,1,0.000216,0,1,3,0.005669
4528,zombieface,3,3,5,0.282596,0.293409,0,0.000802,0.000802,1,0.000216,0,1,3,0.005669
4050,tomorrow,3,3,5,0.282596,0.293409,0,0.000802,0.000802,1,0.000216,0,1,3,0.005669
3866,talksport,3,3,5,0.318012,0.336089,0,0.005318,0.005318,1,0.000209,0,1,3,0.022486
1769,hardtimes,3,3,5,0.296505,0.309647,0,0.003263,0.003263,1,0.000212,0,1,3,0.012621
1175,engu20,3,3,5,0.296505,0.309647,0,0.003263,0.003263,1,0.000212,0,1,3,0.012621
3285,regram,3,3,5,0.31159,0.332046,0,0.008027,0.008027,1,0.000216,0,1,3,0.022847
2734,MyAfricanShawties,3,3,5,0.31159,0.332046,0,0.008027,0.008027,1,0.000216,0,1,3,0.022847
3166,ProudNaija,3,3,5,0.31159,0.332046,0,0.008027,0.008027,1,0.000216,0,1,3,0.022847
1294,Federer,3,17,5,0.293323,0.305093,0,0.002172,0.002172,1,0.000215,0,1,3,0.008598
391,BelieveInMcLaren,3,17,5,0.289469,0.298393,0,0.002133,0.002133,1,0.00021,0,1,3,0.007412
1243,F1Show,3,3,5,0.274537,0.282291,0,0.001019,0.001019,1,0.000213,0,1,3,0.00399
3610,skysportsf1,3,3,5,0.274537,0.282291,0,0.001019,0.001019,1,0.000213,0,1,3,0.00399
3682,SoulTrain,3,9,5,0.280804,0.288392,0,0.001359,0.001359,1,0.00021,0,1,3,0.004147
2683,Mozam,3,3,5,0.333083,0.35023,0,0.010842,0.010842,1,0.00021,0,1,3,0.0289
3424,Sarajevo,3,3,5,0.310715,0.327029,0,0.006293,0.006293,1,0.000212,0,1,3,0.018216
3451,Screen,3,3,5,0.310715,0.327029,0,0.006293,0.006293,1,0.000212,0,1,3,0.018216
